observation_date,GDP_log,XTIMVA01USM664S_log,XTEXVA01USM664S_log,GPDI_log,RPI_log,INDPRO_log,BUSLOANS_log,NONREVSL_log,UNRATE_diff,DFF_diff,GS1_diff,AAA_diff,IRLTLT01USM156N_diff,M1V,CUMFNS,CLF16OV,B235RC1Q027SBEA,ROWFDIQ027S,CPILFESL_inflation,PCEPI_inflation
1960-04-01,-1.8891057231170345,-1.9378299317533612,-1.900734760470012,-1.9333373731850285,-1.9691015578099993,-2.223121376575927,-1.8913176500048798,-1.85554101155116,0.1434768034102557,-0.27061703163453377,-0.9913659824483099,-0.27340828735399864,-0.49267071940212087,-1.2085566729227468,0.41044684369993056,-1.730502117559165,-0.9170738243770868,-0.7513477331809116,-1.0843729940357014,-0.46173095829438476
1960-07-01,-1.882088138308499,-1.9666690826554047,-1.8846439447688152,-1.9402302514554168,-1.9647440447976743,-2.2607159033509925,-1.8477508287258941,-1.8415143459410113,0.42075781674243284,-0.8805424133010274,-1.1330838589286203,-0.38134912612574084,-0.9250144119386736,-1.2104463166605286,-0.08017387511938079,-1.7240816779518155,-0.9200467906102678,-0.7508726436119516,-1.5855352397491016,-0.6887915173645247
1960-10-01,-1.8904822657681948,-2.0033489438141756,-1.890456638139867,-2.0470594435860496,-1.9666946515250516,-2.316038504712354,-1.8052624819672445,-1.8301781442744367,1.113960350072878,-0.7424461004708779,-0.11271514827038573,0.02342901926828641,0.13422763477588381,-1.2274531103005635,-0.698058659524702,-1.7135315083457687,-0.9212709531768717,-0.7520339736694094,-0.5736311544495747,-0.5799646448930674
1961-01-01,-1.882993848471615,-2.008330777566794,-1.8773655244671874,-2.0210355428888227,-1.951916279812829,-2.3506287146001883,-1.7736336800521388,-1.8215217273232054,0.6980388300746111,-0.36268124018796655,-0.1694022988625105,-0.1384822388893269,-0.2116473192533599,-1.2203669462838822,-1.1085283684323135,-1.7043686699111595,-0.9217955942768449,-0.7507670681521827,-1.0865464154675781,-0.9849469915441189
1961-04-01,-1.8668699966871802,-2.0034682948819817,-1.9119356387305682,-1.9623650251982705,-1.9264004815789215,-2.2624776878301813,-1.7501639984716169,-1.8253515305123829,0.2821173100763442,-0.30514110984207116,0.09986166645007884,0.02342901926828641,0.004524527014917432,-1.1986360432993932,-0.5962474070558946,-1.704078298270626,-0.9226699961101333,-0.750318372448165,-0.9165033662351686,-1.2963904644716053
1961-07-01,-1.8486818309993203,-1.9437248870180632,-1.8805607031745657,-1.8976353234597765,-1.9044388301858246,-2.1912677074144313,-1.7443566442793281,-1.8194446662191257,-0.27244471658801245,-0.06347256238930969,0.09986166645007884,0.4282071646623089,0.4152510349246438,-1.1693465653637771,-0.1784359305399731,-1.7074014403789526,-0.9177733458437176,-0.7518228227498717,-0.7479248550443773,-0.7045965059694642
1961-10-01,-1.8296736460968783,-1.9344786658198618,-1.8557985844643412,-1.8794165535671337,-1.8713502041167696,-2.1131185376852977,-1.7511918436480531,-1.804923705917522,-0.827006743252368,0.8226454449374826,0.12820524174614154,-0.08451181950345579,-0.01709265761190982,-1.1438363749037248,0.27312333962297897,-1.7110794811590424,-0.9154999010771675,-0.751981185939525,-0.9202861258135961,-1.1064325380477988
1962-01-01,-1.8104417259018792,-1.926181919722939,-1.8687080065040276,-1.834626879947976,-1.851847042701228,-2.0795002462407832,-1.7633945186695916,-1.792220244719081,-0.8270067432523692,0.06311572437166074,0.15654881704220297,-0.0035561904246503378,0.11261045014905464,-1.1126572532303274,0.38371631964537123,-1.7103696838155162,-0.9123520544773289,-0.7518228227498717,-1.090809576689919,-0.5974676357147164
1962-04-01,-1.8014755629076145,-1.9063511584948856,-1.830357519072276,-1.846307072370332,-1.829827538575666,-2.0576346696085484,-1.7848852238297044,-1.7684027207100645,-0.13380420992192266,0.16668795899427266,-0.26860481239872747,-0.3003934970469354,-0.3197332423874971,-1.1050986782792007,0.4140163218741361,-1.7067884335822712,-0.9114776526440403,-0.7507670681521827,-0.7543680057980663,-0.7196716796313083
1962-07-01,-1.7894037123662336,-1.8993067906820185,-1.8416382482802651,-1.8338980514541603,-1.8166802910182573,-2.0335823811745164,-1.804693733867188,-1.7500116905327563,0.14347680341025446,0.2702601936168851,0.22740775528235843,0.10438464834708946,0.2639307425368502,-1.0753367894091392,0.45954744972124384,-1.695044513898476,-0.9127018152106443,-0.7517700350199872,-0.9250532551616387,-0.8603102731607817
